iter	Passed	Remaining
0	0	211
1	0	371
2	0	292
3	1	250
4	1	296
5	1	283
6	2	294
7	2	304
8	3	341
9	3	351
10	3	330
11	3	320
12	5	380
13	5	388
14	6	400
15	6	412
16	6	403
17	7	416
18	8	439
19	9	464
20	10	509
21	11	492
22	11	500
23	12	498
24	12	495
25	13	492
26	13	489
27	13	481
28	14	472
29	14	479
30	15	482
31	16	488
32	16	491
33	17	495
34	17	494
35	18	492
36	24	644
37	25	633
38	26	659
39	29	708
40	30	714
41	31	712
42	32	714
43	32	713
44	33	700
45	33	694
46	34	691
47	34	692
48	36	700
49	37	711
50	38	724
51	39	714
52	39	710
53	40	706
54	41	717
55	42	721
56	43	717
57	43	711
58	44	709
59	45	707
60	45	698
61	46	696
62	46	694
63	48	708
64	50	725
65	50	720
66	51	710
67	51	706
68	52	703
69	52	699
70	53	697
71	53	692
72	54	688
73	54	682
74	54	675
75	55	673
76	56	674
77	57	674
78	57	671
79	59	680
80	61	693
81	62	694
82	62	691
83	62	686
84	63	679
85	63	675
86	64	675
87	65	676
88	65	672
89	65	666
90	66	662
91	66	657
92	67	654
93	67	648
94	67	647
95	68	645
96	69	651
97	70	651
98	70	646
99	71	647
100	72	645
101	73	643
102	73	640
103	74	637
104	74	635
105	75	633
106	75	631
107	75	626
108	76	623
109	76	621
110	77	617
111	77	615
112	78	613
113	78	608
114	78	604
115	78	601
116	79	600
117	80	602
118	81	600
119	82	604
120	82	601
121	83	600
122	84	599
123	84	597
124	84	594
125	85	589
126	85	587
127	86	586
128	86	584
129	87	582
130	87	581
131	88	579
132	88	576
133	88	574
134	89	573
135	90	575
136	90	572
137	91	569
138	91	569
139	92	568
140	92	565
141	93	566
142	94	566
143	95	565
144	95	562
145	95	560
146	96	559
147	96	558
148	97	557
149	98	558
150	99	559
151	100	558
152	101	560
153	102	563
154	103	564
155	104	563
156	105	563
157	105	561
158	105	559
159	106	558
160	107	559
161	108	560
162	108	558
163	109	558
164	110	557
165	110	555
166	114	568
167	115	571
168	116	570
169	116	569
170	117	567
171	117	566
172	118	565
173	118	563
174	119	562
175	120	562
176	121	562
177	121	560
178	122	559
179	122	559
180	123	557
181	124	557
182	124	555
183	124	552
184	124	550
185	125	549
186	125	546
187	125	543
188	127	548
189	128	545
190	128	545
191	129	543
192	129	543
193	130	541
194	130	540
195	131	539
196	133	544
197	134	543
198	135	543
199	135	543
200	136	540
201	136	538
202	136	537
203	137	536
204	137	535
205	138	534
206	138	532
207	139	531
208	140	530
209	140	528
210	141	527
211	141	526
212	142	526
213	143	526
214	147	539
215	148	539
216	149	537
217	149	536
218	150	535
219	150	532
220	150	530
221	151	529
222	151	528
223	152	526
224	152	525
225	152	523
226	153	521
227	153	519
228	153	517
229	154	516
230	154	515
231	155	513
232	155	512
233	156	511
234	156	510
235	157	510
236	158	511
237	159	510
238	160	509
239	160	508
240	161	507
241	161	506
242	162	505
243	162	503
244	163	503
245	164	502
246	165	503
247	166	503
248	166	502
249	167	502
250	167	501
251	168	500
252	168	498
253	169	496
254	169	495
255	170	495
256	170	494
257	171	493
258	172	493
259	172	491
260	173	491
261	174	490
262	175	491
263	176	491
264	177	491
265	177	490
266	178	488
267	178	488
268	179	487
269	180	486
270	180	485
271	181	485
272	183	489
273	185	491
274	185	490
275	186	489
276	187	488
277	187	487
278	188	486
279	188	485
280	189	484
281	189	483
282	190	482
283	190	481
284	191	481
285	192	480
286	192	478
287	193	477
288	193	476
289	194	476
290	195	475
291	195	474
292	197	475
293	198	475
294	198	475
295	199	474
296	200	473
297	200	472
298	201	471
299	201	470
300	202	469
301	202	468
302	203	467
303	203	466
304	204	465
305	205	465
306	205	464
307	206	463
308	206	462
309	207	461
310	210	466
311	211	467
312	212	466
313	212	465
314	213	464
315	213	463
316	214	462
317	215	461
318	215	460
319	216	459
320	216	457
321	217	456
322	217	456
323	218	455
324	218	454
325	219	453
326	219	452
327	220	451
328	220	450
329	221	449
330	222	448
331	222	447
332	224	449
333	261	520
334	262	520
335	263	519
336	267	526
337	268	525
338	268	524
339	270	524
340	271	523
341	271	522
342	272	521
343	273	521
344	274	520
345	274	519
346	275	518
347	276	517
348	276	516
349	277	515
350	277	513
351	278	512
352	278	511
353	281	514
354	282	513
355	283	512
356	283	511
357	284	509
358	284	508
359	285	507
360	285	505
361	286	504
362	287	503
363	287	502
364	288	501
365	288	499
366	289	498
367	289	497
368	289	495
369	290	494
370	291	493
371	291	492
372	292	490
373	292	489
374	292	488
375	293	486
376	293	485
377	294	484
378	294	482
379	295	481
380	295	480
381	296	479
382	296	477
383	297	476
384	297	475
385	298	474
386	298	473
387	299	471
388	299	470
389	300	469
390	300	468
391	301	467
392	301	466
393	302	464
394	302	463
395	306	467
396	306	466
397	308	466
398	308	465
399	309	464
400	310	463
401	310	462
402	311	461
403	311	459
404	312	459
405	313	459
406	314	458
407	315	457
408	316	456
409	317	456
410	317	455
411	317	453
412	318	452
413	319	451
414	319	450
415	320	449
416	320	448
417	321	446
418	321	445
419	322	444
420	323	444
421	323	443
422	324	443
423	325	442
424	325	440
425	326	439
426	326	438
427	327	437
428	327	436
429	328	435
430	328	434
431	329	433
432	330	432
433	330	431
434	330	429
435	331	428
436	331	427
437	332	426
438	332	425
439	333	424
440	334	423
441	335	423
442	335	422
443	336	421
444	336	420
445	337	419
446	337	418
447	338	417
448	339	416
449	340	415
450	340	414
451	341	414
452	342	413
453	342	412
454	343	411
455	344	411
456	345	410
457	346	410
458	347	409
459	347	408
460	348	407
461	348	406
462	349	405
463	349	404
464	350	403
465	350	402
466	351	401
467	351	400
468	352	398
469	352	397
470	353	396
471	354	396
472	354	395
473	355	394
474	356	393
475	356	392
476	357	391
477	357	390
478	358	389
479	358	388
480	359	387
481	360	386
482	360	385
483	361	384
484	361	383
485	362	382
486	362	381
487	363	380
488	363	380
489	364	379
490	364	378
491	365	377
492	365	376
493	366	375
494	366	374
495	367	373
496	368	372
497	368	371
498	369	370
499	370	370
500	371	369
501	371	368
502	372	367
503	372	367
504	373	366
505	373	365
506	374	364
507	374	363
508	375	362
509	376	361
510	376	360
511	377	359
512	378	359
513	379	358
514	379	357
515	380	356
516	380	355
517	381	354
518	381	353
519	382	352
520	382	351
521	383	350
522	383	349
523	384	349
524	384	348
525	385	347
526	385	346
527	386	345
528	386	344
529	386	343
530	387	342
531	387	341
532	388	340
533	388	339
534	389	338
535	389	337
536	390	336
537	390	335
538	391	334
539	392	334
540	392	333
541	393	332
542	393	331
543	394	330
544	394	329
545	395	328
546	395	327
547	396	326
548	396	326
549	397	325
550	397	324
551	398	323
552	398	322
553	399	321
554	400	320
555	400	320
556	401	319
557	402	319
558	403	318
559	403	317
560	404	316
